player_id,draft_year,name,page_start,page_end,rank,rank_range,grade,position,handedness,height_text,height_cm,weight_kg,birth_date,shades_of,badges,profile_summary,profile_text_chars,extraction_warnings,source,source_id,source_url
2025-015-braeden-cootes,2025,Braeden Cootes,267,267,16,12 - 19,A,C,R,5’11.25”,181,83,2007-02-09,Vincent Trocheck,Fearless Brain; Got That Dog; in Him,"This one man forechecking machine already looks like an NHLer. With flashes of dynamic play-driving, there’s top-six potential, too.",2000,,eliteprospects_pdf,2025-ep-pdf-page-267,Draft25.pdf#page=267
2025-023-logan-hensler,2025,Logan Hensler,278,278,17,14 - 21,A,D,R,6’2.25”,189,87,2006-10-14,Noah Hanifin,Play Killer Toolsy Versatility,"A toolsy play-killer who steadily improved through the season. An easy projection to the NHL, and there’s more offence to give.",1899,,eliteprospects_pdf,2025-ep-pdf-page-278,Draft25.pdf#page=278
2025-017-kashawn-aitcheson,2025,Kashawn Aitcheson,290,290,18,14 - 21,A,D,L,6’1.5”,187,89,2006-09-21,Jacob Trouba with a one-timer,Finisher; Freight Train Clinical; Pest,"A punishing two-way defender with clutch scoring ability, play- killing potential, and elite physical skills. A future fan favourite in the NHL.",1829,,eliteprospects_pdf,2025-ep-pdf-page-290,Draft25.pdf#page=290
2025-021-cameron-reid,2025,Cameron Reid,302,302,19,14 - 25,A,D,L,5’11.75”,182,88,2007-04-08,"Devon Toews, Cam York",Ace; Fleet of Foot Play Killer Transition,"A play-driving defender with all-around skills and flashes of high-end offence, but he will have to tap into his offence consistently to fill a top-end role.",1855,,eliteprospects_pdf,2025-ep-pdf-page-302,Draft25.pdf#page=302
2025-011-ben-kindel,2025,Benjamin Kindel,314,314,20,18 - 23,A,CRW,R,5’10”,178,80,2007-04-19,Clayton Keller,Ace; Brain Transition; Vision,"Relentless pace, vision, mid-range scoring, and defensive details define this hard-working forward’s game.",2085,,eliteprospects_pdf,2025-ep-pdf-page-314,Draft25.pdf#page=314
2025-043-malcolm-spence,2025,Malcolm Spence,324,324,21,18 - 25,A,LW,L,6’1”,185,92,2006-09-22,Jake Neighbours,Clinical; Finisher; Versatility Got That Dog; in Him,"A highly disruptive winger with intelligence, high-end details, and pro-style habits that will translate easily to the NHL, but lacks a dynamic element.",1921,,eliteprospects_pdf,2025-ep-pdf-page-324,Draft25.pdf#page=324
2025-094-cameron-schmidt,2025,Cameron Schmidt,336,336,22,21 - 30,A,LW,R,5’7.25”,171,73,2007-01-19,Turbocharged Alex DeBrincat,Sniper Fleet of Foot Got That Dog; in Him,"The fastest skater in the draft, a high-end shooter, electrifying rusher, and surprisingly physical — he has the special to make the NHL, but can he adapt?",2009,,eliteprospects_pdf,2025-ep-pdf-page-336,Draft25.pdf#page=336
2025-036-blake-fiddler,2025,Blake Fiddler,352,352,23,23 - 33,A,D,R,6’4”,193,95,2007-07-09,Adam Larsson,Ace; Toolsy Play Killer Transition,"One of the toolsiest defencemen in the draft class with plus-level mobility and flashes of exciting puck skills, but shutting down the opposition will be his calling card.",2040,,eliteprospects_pdf,2025-ep-pdf-page-352,Draft25.pdf#page=352
2025-030-joshua-ravensbergen,2025,Joshua Ravensbergen,364,364,24,23 - 34,A,G,R,6’5.25”,196,86,2006-11-27,Ben Bishop,,"Big, composed, and confident goalie who uses all of his tools effectively. Elite puck tracker that is able to come up with big saves.",1363,tool_grades_from_vision,eliteprospects_pdf,2025-ep-pdf-page-364,Draft25.pdf#page=364
2025-018-cole-reschny,2025,Cole Reschny,370,370,25,21 - 36,A,C,L,5’10.5”,179,83,2007-04-06,Matt Coronato,Vision Brain Tactician,"Equal parts clever open-ice playmaker and robust down-low creator, he has the skill to fill the net — and the details to make it without dynamic skating.",1869,,eliteprospects_pdf,2025-ep-pdf-page-370,Draft25.pdf#page=370
2025-025-vaclav-nestrasil,2025,Václav Nestrašil,380,380,26,22 - 41,A,RW,R,6’5.25”,196,85,2007-04-06,Alexei Protas,Fearless Raw; Got That Dog; in Him,"A hard-working winger with creativity, handling, flashes of high-end thinking, and an increasingly violent side. A long-term prospect, but one with unique potential.",1921,,eliteprospects_pdf,2025-ep-pdf-page-380,Draft25.pdf#page=380
2025-048-shane-vansaghi,2025,Shane Vansaghi,389,389,27,24 - 32,A,RW,R,6’2.25”,189,95,2006-10-11,Will Cuylle,Got That Dog; in Him,"The ultimate bottom-six checking forward: Skill, intelligence, relentless pace, and overpowering physicality.",2202,,eliteprospects_pdf,2025-ep-pdf-page-389,Draft25.pdf#page=389
2025-022-bill-zonnon,2025,Bill Zonnon,396,396,28,24 - 32,A,CLW,L,6’1.5”,187,84,2006-10-03,Ryan O’Reilly,Fearless Vision; Got That Dog; in Him,"A playoff-ready forward with special checking skills: Skill, intelligence, relentless pace, and playmaking.",1934,,eliteprospects_pdf,2025-ep-pdf-page-396,Draft25.pdf#page=396
2025-040-jack-murtagh,2025,Jack Murtagh,404,404,29,28 - 41,A,RW,L,6’0.75”,185,91,2007-08-22,"Chris Kreider, Jiří Kulich",Fearless Sniper Motor,"A versatile spark plug winger who took major steps this year as a playmaker, complementing his potent shot and high intensity. A high-likelihood middle-six winger.",1808,,eliteprospects_pdf,2025-ep-pdf-page-404,Draft25.pdf#page=404
2025-032-cullen-potter,2025,Cullen Potter,415,415,30,28 - 41,A,CLW,L,5’10”,178,78,2007-01-10,Trevor Moore,Breaker; Fleet of Foot Evasive Ankle,"A high-end skater who brings a sniper’s release and some playmaking, but it was his growth defensively and physically that impressed this season.",2079,,eliteprospects_pdf,2025-ep-pdf-page-415,Draft25.pdf#page=415
2025-046-max-psenicka,2025,Max Pšenička,426,426,31,29 - 47,B,D,R,6’4”,193,80,2007-01-18,Michael Kesselring,Vision Play Killer Got That Dog; in Him,"Perhaps the draft’s biggest second-half riser, this high-pace breakout wizard adapted to the WHL instantly, and still has to more to give offensively.",1896,,eliteprospects_pdf,2025-ep-pdf-page-426,Draft25.pdf#page=426
2025-035-jacob-rombach,2025,Jacob Rombach,434,434,32,29 - 47,B,D,L,6’6.25”,199,91,2007-04-01,Brandon Carlo,Ace; Motor; Play Killer Transition,"The modern shutdown NHL defenceman: Towering size, polished habits, and standout retrieval ability. Skill development in progress, but the want is there.",1908,,eliteprospects_pdf,2025-ep-pdf-page-434,Draft25.pdf#page=434
2025-067-kurban-limatov,2025,Kurban Limatov,443,443,33,29 - 47,B,D,L,6’3”,190,90,2007-03-20,Philip Broberg,Toolsy Fleet of Foot Raw,"A big, mobile defenceman that plays aggressively on both sides of the puck to impose himself every game.",2046,,eliteprospects_pdf,2025-ep-pdf-page-443,Draft25.pdf#page=443
2025-026-ryker-lee,2025,Ryker Lee,456,456,34,29 - 51,B,RW,R,5’11.5”,182,82,2006-11-08,Taller Bobby Brink,Ankle; Breaker; Vision Sniper,A tremendously skilled winger who slices open defences with game-breaking handling and punishes them with his playmaking and heavy one-timer. Everything hinges on skating.,1880,,eliteprospects_pdf,2025-ep-pdf-page-456,Draft25.pdf#page=456
2025-051-william-moore,2025,William Moore,465,465,35,29 - 51,B,LWC,L,6’2.25”,189,79,2007-03-24,Ryan McLeod,Raw Toolsy Brain,"A skillful forward with a quick processor, hard shot, fluid hands, and an ever-improving physical game — middle-six potential, but lots of development remains.",1945,,eliteprospects_pdf,2025-ep-pdf-page-465,Draft25.pdf#page=465
2025-066-nathan-behm,2025,Nathan Behm,478,478,36,29 - 51,B,LW,R,6’1.5”,187,87,2007-04-18,Pavel Dorofeyev,Ankle; Breaker; Evasive Toolsy,An inside-driven winger with game-breaking game and a knack for dominating entire shifts with a lot of runway for growth.,1919,,eliteprospects_pdf,2025-ep-pdf-page-478,Draft25.pdf#page=478
2025-028-sascha-boumedienne,2025,Sascha Boumedienne,485,485,37,30 - 50,B,D,L,6’1”,185,79,2007-01-17,Cam Fowler,Ace; Vision Motor Transition,"An incisive breakout passer who grew in confidence and details throughout the season. Now, he looks capable of filling a two- way role in the NHL.",2183,,eliteprospects_pdf,2025-ep-pdf-page-485,Draft25.pdf#page=485
2025-031-henry-brzustewicz,2025,Henry Brzustewicz,498,498,38,30 - 50,B,D,R,6’1.75”,187,92,2007-02-09,Rasmus Sandin,Fleet of Foot Toolsy,"A high-activity blueliner with a well-rounded toolkit who looks to create on every puck touch, particularly off the rush, but details need refining.",1861,,eliteprospects_pdf,2025-ep-pdf-page-498,Draft25.pdf#page=498
2025-088-kristian-epperson,2025,Kristian Epperson,504,504,39,31 - 51,B,LW,L,5’11.5”,182,83,2006-05-16,Bryan Rust,Fearless Brain Motor,"A fearless, dynamic dual-threat creator with the physicality and intelligence to thrive alongside skilled linemates; the draft’s best re-entry candidate.",2015,,eliteprospects_pdf,2025-ep-pdf-page-504,Draft25.pdf#page=504
2025-074-luca-romano,2025,Luca Romano,513,513,40,31 - 52,B,C,R,5’11.25”,181,80,2007-06-25,Evan Rodrigues,Fleet of Foot Sniper Motor,"A toolsy and detailed do-it-all centre who continued to flash high-end skill as the season progressed, but will need to increase the frequency and efficiency of his play-creation.",1846,,eliteprospects_pdf,2025-ep-pdf-page-513,Draft25.pdf#page=513
2025-063-ben-kevan,2025,Benjamin Kevan,522,522,41,26 - 64,B,RWLW,R,6’0.25”,184,83,2007-01-03,"JJ Peterka, Kasperi Kapanen",Ankle; Breaker; Fleet of Foot Vision,"With one of the draft’s best highlight reels, it’s clear he has the skill, vision, and pace to score in the NHL. But the details and physical game must catch up.",2031,,eliteprospects_pdf,2025-ep-pdf-page-522,Draft25.pdf#page=522
2025-034-alexander-zharovsky,2025,Alexander Zharovsky,533,533,42,34 - 55,B,RW,L,6’1”,185,74,2007-02-22,Andrei Kuzmenko,Ankle Breaker Toolsy Raw,A winger with elite hands and a unique development path makes for a real boom-or-bust type of NHL Draft pick.,2022,,eliteprospects_pdf,2025-ep-pdf-page-533,Draft25.pdf#page=533
2025-069-hayden-paupanekis,2025,Hayden Paupanekis,544,544,43,33 - 65,B,C,R,6’4.25”,194,89,2007-02-04,More Skilled Adam Lowry,Toolsy Versatility Play Killer,"A tough, physical centre with puck skills, mobility, and defensive upside. A little bit more consistency required, but he’s poised for a breakout season.",1804,,eliteprospects_pdf,2025-ep-pdf-page-544,Draft25.pdf#page=544
2025-057-matthew-gard,2025,Matthew Gard,550,550,44,33 - 65,B,C,L,6’4.75”,195,87,2007-04-07,Faster Adam Lowry,Tactician Versatility Toolsy,"A toolsy, defence-first centre with a cerebral style on track for a checking line role in the NHL. Flashes of playmaking and in- motion shooting suggest there’s more upside here, too.",2012,,eliteprospects_pdf,2025-ep-pdf-page-550,Draft25.pdf#page=550
2025-037-milton-gastrin,2025,Milton Gästrin,556,556,45,33 - 65,B,C,L,6’0.5”,184,84,2007-06-02,Teddy Blueger,Motor Versatility,A well-rounded and intelligent two-way centre with strong supporting habits and enough offensive flair as a playmaker to have a chance of becoming a third-line centre in the NHL.,2282,,eliteprospects_pdf,2025-ep-pdf-page-556,Draft25.pdf#page=556
2025-029-mason-west,2025,Mason West,568,568,46,33 - 65,B,CRW,R,6’5.75”,197,94,2007-08-03,Drew O’Connor,,"The top high school prospect in the draft, his 6-foot-6 frame, mobility, and toolsy profile are punctuated by flashes of higher- end skill; an unlimited projection.",0,,eliteprospects_pdf,2025-ep-pdf-page-568,Draft25.pdf#page=568
2025-071-david-bedkowski,2025,David Bedkowski,576,576,47,33 - 65,B,D,R,6’4.5”,194,98,2006-12-07,Niko Mikkola,Hammer; Pest Play Killer; Sledge,"Arguably the most violent player in the class, with the mobility, reach, defensive details, and bloodlust to develop into a tremendous play killer.",1906,,eliteprospects_pdf,2025-ep-pdf-page-576,Draft25.pdf#page=576
2025-012-jack-nesbitt,2025,Jack Nesbitt,582,582,48,33 - 65,B,C,L,6’4.25”,194,84,2007-01-12,Adam Lowry,Tactician Motor Versatility,"An intelligent two-way centre with size, off-puck details, and flashes of high-end skill, but must up the pace and develop more contact skills.",1985,,eliteprospects_pdf,2025-ep-pdf-page-582,Draft25.pdf#page=582
2025-033-haoxi-wang,2025,Haoxi Wang,589,589,49,28 - 75,B,D,L,6’5.5”,197,98,2007-07-27,Alex Vlasic,Fleet of Foot Toolsy Raw,"An enormously gifted skater with massive play-killing potential and flashes of vision. The biggest development project in the draft, but unique potential.",1736,,eliteprospects_pdf,2025-ep-pdf-page-589,Draft25.pdf#page=589
2025-056-ethan-czata,2025,Ethan Czata,597,597,50,40 - 65,B,CRW,L,6’1.25”,186,79,2007-05-29,Kiefer Sherwood,Finisher; Vision Hammer Clinical,"A detailed and extremely physical centre with a finishing touch, but upping the pace will be critical to increasing his three-zone impact.",1762,,eliteprospects_pdf,2025-ep-pdf-page-597,Draft25.pdf#page=597
2025-053-cole-mckinney,2025,Cole McKinney,603,603,51,40 - 65,B,C,R,6’0”,183,91,2007-03-16,Jake Evans,Finisher; Motor Clinical; Versatility,A trustworthy two-way bottom-six centre projection who outworks almost anyone. He’s a capable play-connector and offers a physical net-front presence with scoring threat.,1600,,eliteprospects_pdf,2025-ep-pdf-page-603,Draft25.pdf#page=603
2025-062-ivan-ryabkin,2025,Ivan Ryabkin,612,612,52,40 - 65,B,CLW,L,5’11”,180,91,2007-04-25,"Barrett Hayton, Ridly Greig",Hammer Vision Sniper,"A violent centre who can thread a needle and hammer a puck, he could turn into the ideal third-line pivot so long as his motor and consistent involvement take a step.",2070,,eliteprospects_pdf,2025-ep-pdf-page-612,Draft25.pdf#page=612
2025-055-jakob-ihs-wozniak,2025,Jakob Ihs-Wozniak,632,632,53,40 - 65,B,LWC,R,6’2.25”,189,83,2007-02-01,Brock Boeser,Sniper Vision Tactician,A lanky winger with legitimate dual-threat potential as a shooter and as a distributor; projects as more of a complementary piece due to his lack of pace and limited play-driving.,2343,,eliteprospects_pdf,2025-ep-pdf-page-632,Draft25.pdf#page=632
2025-073-charlie-trethewey,2025,Charlie Trethewey,649,649,54,42 - 68,B,D,R,6’1”,185,91,2007-08-02,Ryan Lindgren,Raw Fleet of Foot,"An excellent skater with physicality, a big shot, and shutdown potential. Puck-moving and reads improved through the season, but more work remains.",1636,,eliteprospects_pdf,2025-ep-pdf-page-649,Draft25.pdf#page=649
2025-042-daniil-prokhorov,2025,Daniil Prokhorov,667,667,56,45 - 70,B,LW,L,6’5”,196,95,2007-04-27,Alexei Toropchenko,Finisher; Freight Train Clinical,"A missile on skates, he’s a violent forward who looks to throw crunching hits, fight to the net, and occasionally snipes off the rush. Sense is the concern.",2309,,eliteprospects_pdf,2025-ep-pdf-page-667,Draft25.pdf#page=667
2025-024-will-horcoff,2025,William Horcoff,676,676,57,45 - 70,B,LWC,L,6’4.75”,195,86,2007-01-23,Mason Marchment,Versatility Tactician,"A rare midseason jump from the NTDP to the NCAA proved to be the right call for this towering, pass-first forward with defensive upside. Skating is the question.",1802,,eliteprospects_pdf,2025-ep-pdf-page-676,Draft25.pdf#page=676
2025-054-theo-stockselius,2025,Theo Stockselius,683,683,58,48 - 70,B,CLW,L,6’2”,188,84,2007-07-24,Jesperi Kotkaniemi,Finisher; Vision Brain Clinical,A big-bodied forward whose intelligence and skill led to elite production in the Swedish junior ranks; needs to improve his skating and pace to make the NHL.,2336,,eliteprospects_pdf,2025-ep-pdf-page-683,Draft25.pdf#page=683
2025-039-peyton-kettles,2025,Peyton Kettles,691,691,59,48 - 70,B,D,R,6’5.25”,196,86,2007-09-01,Joel Edmundson,Play Killer Raw,"A shutdown presence with a condor-like wing span and flashes of skill. Lots of physical development ahead, but he’s one of the draft’s top shutdown options.",1600,,eliteprospects_pdf,2025-ep-pdf-page-691,Draft25.pdf#page=691
2025-045-eric-nilson,2025,Eric Nilson,697,697,60,48 - 70,B,C,R,5’11.5”,182,71,2007-05-11,Jake Evans,Fleet of Foot Motor Play Killer,A fluid-skating two-way centre who drives play in transition and uses his motor as a defensive weapon; can he make his style work in the NHL at his size?,2263,,eliteprospects_pdf,2025-ep-pdf-page-697,Draft25.pdf#page=697
2025-086-tyler-hopkins,2025,Tyler Hopkins,708,708,61,50 - 75,B,C,L,6’1”,185,81,2007-01-23,Lars Eller,Motor Tactician Versatility,"An intelligent, advanced support player who can execute plays at high speeds and play a variety of roles. Flashes of manipulation suggest more offence and skill to be unlocked.",1873,,eliteprospects_pdf,2025-ep-pdf-page-708,Draft25.pdf#page=708
2025-038-carter-amico,2025,Carter Amico,713,713,62,40 - 85,B,D,R,6’5.25”,196,102,2007-03-15,Alex Vlasic,Play Killer Versatility Tactician,"A toolsy right-shot defenceman who started the year as a potential first-round pick with his shutdown game, but reads under pressure and injury history are concerns.",1635,,eliteprospects_pdf,2025-ep-pdf-page-713,Draft25.pdf#page=713
2025-044-eddie-genborg,2025,Eddie Genborg,720,720,63,50 - 75,B,LWRW,L,6’1”,185,81,2007-04-20,Garnet Hathaway,Finisher; Hammer Motor Clinical,"A physical two-way forward with a strong forechecking presence and good finishing instincts around the net. A relatively high floor, but skill could improve.",1950,,eliteprospects_pdf,2025-ep-pdf-page-720,Draft25.pdf#page=720
2025-076-malte-vass,2025,Malte Vass,728,728,64,55 - 78,B,D,L,6’1.75”,187,83,2007-03-28,Ben Chiarot,Play Killer Hammer Toolsy,"A defensive defenceman who kills plays through his physicality and motor; also flashes ability in transition, but needs to refine his puck-moving.",2056,,eliteprospects_pdf,2025-ep-pdf-page-728,Draft25.pdf#page=728
2025-047-alexei-medvedev,2025,Alexei Medvedev,742,742,66,,C,G,L,6’2.25”,189,81,2007-09-10,,,"Smart, athletic goalie that uses his skating and explosiveness as a strength. Not small, but makes himself larger with his positioning.",0,tool_grades_from_vision,eliteprospects_pdf,2025-ep-pdf-page-742,Draft25.pdf#page=742
2025-070-sean-barnhill,2025,Sean Barnhill,745,745,67,,C,D,R,6’4.75”,195,93,2007-01-08,,,"A smooth-skating defenceman who towers over everyone, he excels at stifling rushes and killing plays, and wows every now and then.",1946,,eliteprospects_pdf,2025-ep-pdf-page-745,Draft25.pdf#page=745
2025-126-brandon-gorzynski,2025,Brandon Gorzynski,750,750,68,,C,LW,L,6’1.5”,187,84,2007-03-12,,,"Speed, physicality, and a non-stop motor could make him a menace in the playoffs — and there’s some scoring upside, too.",0,,eliteprospects_pdf,2025-ep-pdf-page-750,Draft25.pdf#page=750
2025-080-mace-o-phillips,2025,Mace’o Phillips,754,754,69,,C,D,L,6’5.75”,197,103,2007-02-25,,,"A huge blueline presence with crushing hits, he brings a unique level of physicality. Continued growth in details and skill is required.",1709,,eliteprospects_pdf,2025-ep-pdf-page-754,Draft25.pdf#page=754
2025-151-everett-baldwin,2025,Everett Baldwin,761,761,70,,C,D,R,5’11.25”,181,78,2007-01-15,,,"Dynamic tools, confidence, aggressive puck rushing, and near- constant advantage creation make him one of the premier prep offensive defenders.",2641,,eliteprospects_pdf,2025-ep-pdf-page-761,Draft25.pdf#page=761
2025-079-cooper-simpson,2025,Cooper Simpson,765,765,71,,C,LW,L,6’0”,183,82,2007-02-05,,,"His diverse release, dynamic handles, and heightened pace led to 49 goals this season, the most in the Minnesota high school circuit. Equally dangerous at the USHL level.",0,,eliteprospects_pdf,2025-ep-pdf-page-765,Draft25.pdf#page=765
2025-188-edison-engle,2025,Edison Engle,770,770,72,,C,D,L,6’1.5”,187,78,2007-02-15,,,"A terrific skater with a game built off modern principles, he efficiently moves pucks, creates offence, and diffuses rushes. Next up: Another layer of physicality and skill.",2098,,eliteprospects_pdf,2025-ep-pdf-page-770,Draft25.pdf#page=770
2025-113-l-j-mooney,2025,L.J. Mooney,776,776,73,,C,CRW,R,5’7”,170,73,2007-03-08,,,"A tiny yet physical winger with dynamic skating and handling, he has the tools to play in the NHL at his size — but he must develop his reads and playmaking further.",2012,,eliteprospects_pdf,2025-ep-pdf-page-776,Draft25.pdf#page=776
2025-041-semyon-frolov,2025,Semyon Frolov75,789,789,75,,C,G,L,6’3”,190,92,2007-01-17,,,Strong puck-tracking goalie and an elite athlete that makes up for some technical flaws with his other strengths.,1570,tool_grades_from_vision,eliteprospects_pdf,2025-ep-pdf-page-789,Draft25.pdf#page=789
2025-221-filip-ekberg,2025,Filip Ekberg,791,791,76,,C,LW,L,5’9.75”,177,75,2007-04-14,,,A high-IQ dual-threat scorer with a strong work rate who exploded offensively after a late-season top-line promotion in the OHL and enjoyed a record-setting U18s.,0,,eliteprospects_pdf,2025-ep-pdf-page-791,Draft25.pdf#page=791
2025-117-david-lewandowski,2025,David Lewandowski,799,799,77,,C,LW,L,6’1.25”,186,80,2007-02-20,,,"A dominant puck protector who throws reverse hits and bulldozes contact. Skating is a concern, but he flashes open-ice scoring ability and power forward elements.",2211,,eliteprospects_pdf,2025-ep-pdf-page-799,Draft25.pdf#page=799
2025-020-pyotr-andreyanov,2025,Pyotr Andreyanov79,811,811,79,,C,G,L,6’0”,183,94,2007-01-22,,,"Athletic, aggressive goalie that consistently finds his game in big moments.",1396,tool_grades_from_vision,eliteprospects_pdf,2025-ep-pdf-page-811,Draft25.pdf#page=811
2025-156-viktor-klingsell,2025,Viktor Klingsell,813,813,80,,C,LWRW,L,5’9.5”,177,85,2007-02-10,,,An undersized yet highly skilled offensive winger whose vision is among the best in the draft; NHL upside could be limited due to lack of physicality and pace.,2259,,eliteprospects_pdf,2025-ep-pdf-page-813,Draft25.pdf#page=813
2025-160-owen-griffin,2025,Owen Griffin,824,824,81,,C,C,R,5’9.75”,177,73,2007-04-08,,,"An undersized defensive centre who flew under the radar until the playoffs, where he unlocked clutch goalscoring ability through a combination of hard skill and smarts.",0,,eliteprospects_pdf,2025-ep-pdf-page-824,Draft25.pdf#page=824
2025-091-brady-peddle,2025,Brady Peddle,829,829,82,,C,D,L,6’2.75”,190,87,2007-05-23,,,"A good mover who angles rushers to the outside, protects the middle at all costs, and kills plays efficiently, layering his stick and body. Upside is the question.",0,,eliteprospects_pdf,2025-ep-pdf-page-829,Draft25.pdf#page=829
